Title,Year,Alternative_Titles,Director,Lead_Actor,Co_Stars,Music,Synopsis_and_Notes
Shalako,1968,Shalako,Edward Dmytryk,Sean Connery,"Brigitte Bardot, Stephen Boyd, Woody Strode, Jack Hawkins, Peter Van Eyck, Honor Blackman",Robert Farnon,"Sean Connery plays Shalako, a seasoned frontier scout who encounters an aristocratic safari of wealthy European tourists hunting big game in Apache territory. When their double-crossing guide (Stephen Boyd) abandons them, Shalako must shepherd the helpless aristocrats through hostile desert terrain, culminating in a hand-to-hand fight with an Apache warrior (Woody Strode)."
Shango,1969,"Shango, la Pistola Infallibile",Edoardo Mulargia (as Edward G. Muller),Anthony Steffen,"Eduardo Fajardo, Maurice Poli, Barbara Nelli, Andrea Scotti, Massimo Carrocci, Franco Pesce",Felice Di Stefano,"Texas Ranger Shango (Anthony Steffen) rides into a frontier town dominated by a rogue Confederate officer (Eduardo Fajardo) who refuses to accept the South's surrender. Teaming up with a local bandit gang to locate buried gold, the tyrant finds his empire challenged when Shango launches an undercover campaign to free the oppressed citizens."
Sheriff of Rock Spring,1971,Lo Sceriffo di Rock Spring,Primo Zeglio (as Anthony Green),Richard Harrison,"Cosetta Greco, Donald O'Brien, Maria Morgan, Marino Sidri",Gianfranco and Felice De Stefano,"A seasoned gunfighter (Richard Harrison) hangs up his weapons and retires to the peaceful community of Rock Spring, where the grateful citizens appoint him town sheriff. His hopes for a tranquil life are ruined when a crooked banker conspires with saloon outlaws to violently seize regional property."
Sheriff Was a Lady,1965,In the Wild West; Freddy und das Lied der Prärie,Carlo Croccolo (as Söbey Martin),Freddy Quinn,"Mamie Van Doren, Rik Battaglia, Beba Loncar, Trude Herr, Carlo Croccolo",Lotar Olias,"A colorful German-produced musical western. German pop idol Freddy Quinn plays a naive-seeming young man hunting down the bandit gang (led by Rik Battaglia) responsible for slaying his parents. Teaming up with a glamorous saloon entertainer (American bombshell Mamie Van Doren), they hatch a scheme to install her as sheriff to trap the killers."
Sheriff with the Gold,1966,Uno Sceriffo Tutto d'Oro,Osvaldo Civirani (as Richard Kean),Louis McJulian,"Jacques Berthier, Kathleen Parker, Bob Messenger, Ares Lucky, Ivan Scratuglia",Nora Orlandi / Jan Cristiane,"When a notorious bandit is scheduled for execution, a corrupt federal marshal steps in with forged documents to stay the hanging. The rescue turns out to be part of the lawman's elaborate plan to force the prisoner to guide him to a buried cache of stolen gold bars."
Sheriff Won't Shoot,1967,Lo Sceriffo Che Non Spara; Poker d'As pour Django; Poker d'Assi per Django,Roberto Montero (as J. Luis Monter),Mickey Hargitay,"Vincente Cashino, Dan Clark, Manuel Zarzo, Pilar Clemens, Angel Ter, Sancho Garcia",Felice Di Stefano,"Peplum bodybuilder Mickey Hargitay stars as a pacifist frontier sheriff who has long avoided lethal gunplay. His peaceful resolve is shattered when he discovers that his reckless younger brother has fallen in with an aggressive outlaw outfit, forcing the lawman into a final showdown to save his family."
"Shoot, Gringo... Shoot!",1968,"The Longest Hunt; Rainbow; Spara, Gringo, Spara; Tire, Django, Tire",Bruno Corbucci (as Frank B. Corlish),Brian Kelly,"Fabrizio Moroni, Keenan Wynn, Folco Lulli, Erika Blanc, Rik Battaglia, Gigi Bonos",Sante Maria Romitelli (as Richard Ira Silver),"A famous gunman named Stark (Brian Kelly) is hired by a wealthy Mexican landowner to retrieve his wayward son, who has joined an outlaw gang led by a former Union officer (Keenan Wynn). After bringing the youth back, Stark is horrified to discover the father intends to crucify the boy over an infidelity accusation, prompting the gunslinger to intervene."
"Shoot Joe, and Shoot Again",1972,"Joe Dakota; Joe Dakota, Spara... e Così Sia",Emilio P. Miraglia (as Hal Brady),Richard Harrison,"José Torres, Franca Polesello, Indio Gonzales, Rick Boyd, Roberto Maldera",Vasco & Mancuso,"Richard Harrison stars as Joe Dakota, an undercover operative hunting down an elusive outlaw gang that stole a fortune in gold coins. Captured and tortured by the bandits, Joe miraculously survives to settle the score during an explosive final shootout at their mountain hideout."
Shoot the Living... Pray for the Dead,1971,Pray to Kill and Return Alive; Prega per il Morto e Ammazza il Vivo,Giuseppe Vari (as Joseph Warren),Klaus Kinski,"Victoria Zinny, Paul Sullivan, Dean Stratford, Ares Lucky, Anthony Rock, Aldo Barberito",Mario Migliardi,"Following a successful $100,000 bank heist in Phoenix, an outlaw gang hole up at an isolated border waystation. Tensions and power struggles erupt between gang leaders (Klaus Kinski and Dean Stratford), while an apparently innocent trail guide (Paul Sullivan) secretly bides his time to avenge his murdered parents."
Shoot to Kill,1963,Texas Jim; Se Sparo... Ti Uccido; Cuatreros,Ramon Torrado,Edmund Purdom,"Frank Latimore, Fernando Sancho, Silvia Solar, Luis Induñi, Santiago Rivero, Laura Granados",Daniele Montoyo,"An early Spanish-Italian co-production centering on an intense romantic rivalry. A dedicated ranch foreman (Edmund Purdom) falls in love with his employer's daughter (Silvia Solar), but finds his courtship contested by the rancher's outlaw nephew (Frank Latimore), culminating in a fiery battle inside a burning barn."
Shotgun,1969,Vengeance Is My Forgiveness; La Vendetta È il Mio Perdono,Roberto Mauri,Tab Hunter,"Erika Blanc, Piero Lulli, Mimmo Palmara, Daniele Vargas, Renato Romano",Giancarlo Bizzi,"American actor Tab Hunter plays Sheriff Durango, whose quiet retirement plans are ruined when four masked marauders slaughter his fiancée and her family. Spiraling into despair, Durango is pulled together by a compassionate saloon owner (Erika Blanc) and uncovers that respected town businessmen were behind the raid."
Shots Ring Out!,1965,Four Bullets for Joe; Si Udirono Quattro Colpi di Fucile,Augustin Navarro,Paul Piaget,"Fred Canow (Fernando Casanova), Liz Poitel, Barbara Nelli, Angela Cavo, Francisco Moran",Marcello Gigante,"A murder-mystery western where a female wanderer is convicted of slaying a local man. When her brother, gunfighter Frank Dalton (Paul Piaget), arrives in town, key witnesses and jury members are systematically assassinated, forcing the town sheriff to uncover the true killer before a lynch mob acts."
Showdown for a Badman,1972,Nevada Kid; Coffin Full of Dollars; Per una Bara Piena di Dollari,Demofilo Fidani (as Miles Deem),Hunt Powers,"Klaus Kinski, Gordon Mitchell, Jeff Cameron, Ray Saunders, Simone Blondell, Dennis Colt",Coriolano Gori,Bounty hunters Nevada (Hunt Powers) and his unnamed companion (Jeff Cameron) team up to dismantle an outlaw outfit commanded by the sadistic Hagen (Gordon Mitchell). Known for its energetic ensemble cast including Klaus Kinski and stylized cinematography by Aristide Massaccesi.
Sign of Coyote,1964,Vengador of California; Il Segno di Coyote,Mario Caiano,Fernand Canova,"Maria Luz Galicia, Mario Feliciani, Piero Lulli, Giulia Rubini, Fernando Sancho, José Jaspe",Francesco De Masi,"A lively adventure patterned on the Zorro myth. In 19th-century Spanish California, an agile masked vigilante known as Coyote (Fernand Canova) relies on pistols, traps, and disguises to frustrate an oppressive provincial governor and protect local peasants from unjust taxes."
Sign of Zorro,1964,Il Segno di Zorro,Mario Caiano,Sean Flynn,"Folco Lulli, Gaby André, Enrique Diosdado, Armando Calvo, Helga Line, Danielle De Metz",Gregorio Garcia Segura,"Sean Flynn portrays Don Ramon, who returns to his ancestral home in colonial Mexico to discover his father assassinated by an illegitimate dictator. Donning a black mask and cape, Ramon becomes Zorro, leading a grassroots underground resistance against the tyrant's troops."
Silver Saddle,1978,They Died with Their Boots On; Sella d'Argento,Lucio Fulci,Giuliano Gemma,"Sven Valsecchi, Ettore Manni, Donald O'Brien, Aldo Sambrell, Cinzia Monreale, Licinia Lentini",Franco Bixio / Fabio Frizzi / Vince Tempera,"Lucio Fulci directs an emotional, beautifully crafted late-era western. After killing his father's murderer as a boy, Roy Blood (Giuliano Gemma) grows up to become a legendary bounty hunter. When a job goes wrong, Roy rescues an orphaned child related to his sworn enemies, protecting the youth from a sadistic gang of kidnappers."
A Sky Full of Stars for a Roof,1968,. . .E per Tetto un Cielo di Stelle,Giulio Petroni,Giuliano Gemma,"Mario Adorf, Magda Konopka, Anthony Dawson, Rick Boyd, Cris Huerta, Julie Menard",Ennio Morricone,"A breezy, episodic buddy adventure from Giulio Petroni. Giuliano Gemma and Mario Adorf star as two mismatched vagabonds—a nimble gunfighter and a lumbering drifter—who tumble into a series of comedic scrapes involving traveling circuses, card cheats, and pursuing outlaws."
"Sometimes Life Is Hard, Right Providence?",1972,"Life Is Tough, Eh Providence?; La Vita, a Volte, È Molto Dura, Vero Provvidenza?",Giulio Petroni,Tomás Milian,"Gregg Palmer, Janet Agren, Maurice Poli, Ken Wood (Giovanni Cianfriglia), Carla Mancini, Paul Müller",Ennio Morricone,"Tomás Milian plays Providence, an eccentric, bowler-hatted, umbrella-wielding bounty hunter patterned after Charlie Chaplin. Teaming up with a brutish outlaw named Hurricane Kid (Gregg Palmer), Providence repeatedly turns his partner in for rewards, springs him from jail, and moves on to the next town to repeat the scam."
Son of a Gunfighter,1966,El Hijo del Pistolero,Paul Landres,Russ Tamblyn,"Kieron Moore, Fernando Rey, James Philbrook, Maria Granada, Aldo Sambrell, Antonio Casas",Frank Barber (Franco Barosa),"Russ Tamblyn stars as Johnny, a fast-drawing avenger pursuing an elusive outlaw named Ketchum (James Philbrook), the man who killed his mother. When he finally corners his quarry, Johnny discovers Ketchum is his biological father, leading them to unite to protect a Mexican hacienda from raiding bandits."
Son of Django,1967,Vengeance Is a Colt .45; Return of Django; Il Figlio di Django,Osvaldo Civirani,Gabriele Tinti,"Guy Madison, Ingrid Schoeller, Daniele Vargas, Pedro Sanchez, Andrew Scott, Bob Messenger",Piero Umiliani,"Years after watching his father (the legendary Django) murdered by an outlaw cartel, grown son Clint (Gabriele Tinti) rides into Topeka City seeking retribution against town boss Clay. A traveling preacher and former gunfighter (Guy Madison) steps in to mentor Clint and help him dismantle the gang."
Son of Zorro,1973,Man with the Golden Winchester; Figlio di Zorro; L'Uomo dal Winchester,Gianfranco Baldanello,Alberto Dell'Acqua (as Robert Widmark),"Fernando Sancho, Elisa Ramirez, William Berger, George Wang, Franco Fantasia",Marcello Gigante,"A lighthearted action-comedy teaming Alberto Dell'Acqua as a dashing, masked folk hero alongside Fernando Sancho as his boisterous Mexican companion, combining acrobatic stunt work and gunfire to overthrow a regional tyrant."
Specialists,1969,Drop Them or I'll Shoot; Gli Specialisti,Sergio Corbucci,Johnny Hallyday,"Sylvie Fennec, Mario Adorf, Françoise Fabian, Gastone Moschin, Serge Marquand, Gino Pernice",Angelo Francesco Lavagnino,"Sergio Corbucci's satirical take on late-60s counterculture. French rock icon Johnny Hallyday stars as Hud, a chainmail-vested gunfighter who rides into the corrupt town of Blackstone to investigate his brother's lynching, contending with a sanctimonious elite, greedy bankers, and an unruly commune of young hippies."
Sting of the West,1972,Con Men; Father Jackleg; Te Deum,Enzo G. Castellari,Jack Palance,"Lionel Stander, Timothy Brent (Giancarlo Prete), Eduardo Fajardo, Renzo Palmer, Romana Coluzzi, Carla Mancini",Guido and Maurizio De Angelis,"An energetic frontier comedy inspired by classic madcap ensemble capers. A fraudulent frontier preacher named Father Jackleg (Jack Palance) and an eccentric swindler (Lionel Stander) attempt to sell off a worthless mine deed, only to discover the claim is genuinely loaded with gold, triggering a frantic scramble."
Stranger and the Gunfighter,1973,"Blood Money; Là, Dove non Batte il Sole",Antonio Margheriti (as Anthony Dawson),Lee Van Cleef,"Lo Lieh, Karen Yeh, Femi Benussi, Julian Ugarte, Erika Blanc, Goyo Peralta",Carlo Savina,"A wild kung-fu western co-production. A master safecracker (Lee Van Cleef) and a Chinese martial artist (Lo Lieh) team up to locate a hidden imperial treasure. The clues to the fortune's whereabouts have been tattooed onto the backsides of four different women, sparking a frantic chase across the frontier."
Stranger in Japan,1969,Silent Stranger; Horseman and the Samurai; Lo Straniero di Silenzio,Luigi Vanzi (as Vance Lewis),Tony Anthony,"Lloyd Battista, Kin Omae, Kenji Ohara, Yoshio Nukano, Rita Maura, Raf Baldassare",Stelvio Cipriani,"The third entry in Tony Anthony's 'Stranger' cycle. The poncho-clad American gunfighter journeys to feudal Japan to deliver a sacred scroll for a $20,000 reward. Finding himself caught between rival samurai clans battling over regional control, the Stranger relies on his four-barreled shotgun to survive."
Stranger in Paso Bravo,1968,Uno Straniero a Paso Bravo,Salvatore Rosso,Anthony Steffen,"Eduardo Fajardo, Giulia Rubini, José Jaspe, Pepe Calvo, Antonio Cintado, Adriana Ambesi",Angelo Francesco Lavagnino,"Anthony Steffen stars as Gary, a quiet drifter who arrives in the border settlement of Paso Bravo seeking retribution for the murder of his wife and child. Despite facing public humiliation and torture from an authoritarian cattle baron (Eduardo Fajardo), Gary takes up his Winchester to settle the score."
Stranger in Sacramento,1964,Uno Straniero a Sacramento,Sergio Bergonzelli (as Serge Bergon),Mickey Hargitay,"Barbara Frey, Lucky Bennett, Gabriella Giorgelli, Big I. Matthews, Steve Saint-Claire, Aldo Berti",Felice Di Stefano,"Bodybuilder Mickey Hargitay stars as Mike Jordan, an honest California rancher who returns home to find his family slaughtered and their livestock stolen by rustlers. When corrupt local officials refuse to investigate, Mike tracks the predatory land baron responsible across the Sacramento Valley."
Stranger in Town,1966,A Dollar Between the Teeth; For a Dollar in the Teeth; Un Dollaro Tra i Denti,Luigi Vanzi (as Vance Lewis),Tony Anthony,"Frank Wolff, Gia Sandri, Raf Baldassare, Jolanda Modio, Aldo Berti, Enrico Capoleoni",Benedetto Ghiglia,"The film that launched Tony Anthony's iconic 'Stranger' character. A lone, poncho-clad opportunist arrives in an abandoned outpost seized by a Mexican bandit crew led by Aguilar (Frank Wolff). After helping the outlaws ambush a military gold convoy, the Stranger is betrayed and beaten, returning to reclaim the loot."
